timestamp,oil_usd_per_barrel,usd_inr_rate,city,temp_c,feels_like_c,humidity_pct,description,wind_kph
2026-06-24 13:44:32,71.87,94.6875,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 13:48:46,71.85,94.69,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 13:49:00,71.83,94.6875,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 13:49:07,71.84,94.6925,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 13:49:19,71.83,94.685,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 13:49:21,71.82,94.685,Delhi,40.57,40.89,22,clear sky,5.9
2026-06-24 17:56:32,71.12,94.665,Delhi,39.49,39.25,22,clear sky,3.1
2026-06-24 17:58:38,71.0,94.665,Delhi,39.49,39.25,22,clear sky,3.1
